count,create_date,location,weatherstation,temp,precip,canonical_location
22,2012-07-13,San Diego,KSAN,70.876923076899999,0.0,San Diego
8,2012-07-13,Montr\\xc3\\xa9al,CWTA,80.230769230799993,0.0,Montreal
98,2012-07-13,New York,KNYC,79.245833333299998,0.0,New York
5,2012-07-13,Mountain View,KNUQ,61.085185185199997,0.0,Mountain View
9,2012-07-13,Kansas City,KMKC,79.6647058824,0.34000000000000002,Kansas City
26,2012-07-13,Philadelphia,KPHL,80.424999999999997,0.0,Philadelphia
39,2012-07-13,NYC,KNYC,79.245833333299998,0.0,New York
43,2012-07-13,New York City,KNYC,79.245833333299998,0.0,New York
8,2012-07-13,SF Bay Area,KSFO,57.103703703699999,0.0,San Francisco
29,2012-07-13,Montreal,CWTA,80.230769230799993,0.0,Montreal
34,2012-07-13,Boston,KBOS,78.291666666699996,0.0,Boston
4,2012-07-13,Portland OR,KPDX,65.657692307700003,0.0,Portland
54,2012-07-13,Chicago,KMDW,80.723333333300005,0.0,Chicago
7,2012-07-13,Waterloo,KALO,73.551351351400001,0.31,Waterloo
3,2012-07-13,Washington,KDCA,81.604166666699996,0.0,Washington DC
4,2012-07-13,Oklahoma City,KOKC,83.833333333300004,0.0,Oklahoma City
3,2012-07-13,DC,KDCA,81.604166666699996,0.0,Washington DC
7,2012-07-13,NY,KNYC,79.245833333299998,0.0,New York
27,2012-07-15,Los Angeles,KCQT,67.959259259299998,0.0,Los Angeles
3,2012-07-15,Waterloo,KALO,77.5161290323,0.0,Waterloo
13,2012-07-15,Philadelphia,KPHL,78.846666666700003,0.54000000000000004,Philadelphia
16,2012-07-15,Boston,KBOS,81.637500000000003,0.0,Boston
14,2013-04-26,SF,KSFO,53.842307692299997,0.0,San Francisco
16,2013-04-26,NY,KNYC,57.549999999999997,0.0,New York
16,2013-04-26,Montr\\xc3\\xa9al,CWTA,44.978571428599999,0.0,Montreal
3,2013-04-26,Birmingham,KBHM,63.0333333333,0.0,Birmingham
17,2013-04-26,Cambridge,KBOS,48.170833333300003,0.0,Boston
4,2013-04-26,Portland OR,KPDX,59.780769230799997,0.0,Portland
5,2013-04-26,Miami,KMIA,76.691666666700002,0.0,Miami
7,2013-04-26,Redmond,KBFI,56.981481481499998,0.0,Seattle
7,2013-04-26,Kansas City,KMKC,53.145454545500002,0.14000000000000001,Kansas City
6,2013-04-26,Seattle WA,KBFI,56.981481481499998,0.0,Seattle
5,2013-04-26,Chicago IL,KMDW,54.358333333300003,0.0,Chicago
6,2013-04-26,Indianapolis,KIND,50.837499999999999,0.0,Indianapolis
4,2013-04-26,Santa Barbara,KSBA,59.741666666699999,0.0,Santa Barbara
5,2013-04-26,San Antonio,KSSF,68.017777777800006,0.029999999999999999,San Antonio
1,2013-04-26,Oakland CA,KOAK,57.207407407399998,0.0,Berkeley
1,2013-04-26,Colorado Springs,KCOS,56.037500000000001,0.0,Colorado Springs
6,2013-04-26,Portland,KPDX,59.780769230799997,0.0,Portland
1,2013-04-26,Sunnyvale,KNUQ,57.424999999999997,0.0,Mountain View
4,2013-04-26,Oklahoma City,KOKC,60.824324324300001,3.2200000000000002,Oklahoma City
1,2013-04-26,seattle,KBFI,56.981481481499998,0.0,Seattle
3,2013-04-26,Waterloo,KALO,56.950000000000003,0.0,Waterloo
2,2013-04-27,Waterloo,KALO,55.120833333299998,0.0,Waterloo
8,2013-04-27,Austin,KATT,73.654285714300002,0.0,Austin
4,2013-04-27,Mountain View,KNUQ,57.915999999999997,0.0,Mountain View
2,2013-04-27,Las Vegas,KLAS,78.604166666699996,0.0,Las Vegas
4,2013-04-27,Kansas City,KMKC,51.418181818199997,0.11,Kansas City
5,2013-04-26,Austin TX,KATT,68.079999999999998,0.059999999999999998,Austin
6,2013-04-27,Denver,KAPA,57.229166666700003,0.0,Denver
2,2013-04-27,Sunnyvale,KNUQ,57.915999999999997,0.0,Mountain View
6,2013-01-13,Kansas City,KMKC,19.913333333299999,0.0,Kansas City
96,2013-01-13,New York,KNYC,46.179166666699999,0.0,New York
35,2013-01-13,Chicago,KMDW,25.067567567600001,0.14999999999999999,Chicago
43,2013-01-13,Seattle,KBFI,30.320833333300001,0.0,Seattle
179,2013-01-13,San Francisco,KSFO,45.020833333299997,0.0,San Francisco
2,2013-01-13,Cambridge MA,KBOS,45.640000000000001,0.0,Boston
15,2013-01-13,Philadelphia,KPHL,46.459420289900002,0.0,Philadelphia
6,2013-01-13,Atlanta,KFTY,65.906060606099999,0.050000000000000003,Atlanta
26,2013-01-13,Boston,KBOS,45.640000000000001,0.0,Boston
37,2013-01-13,New York City,KNYC,46.179166666699999,0.0,New York
8,2013-01-13,Washington DC,KDCA,48.663265306100001,0.0,Washington DC
10,2013-01-13,Montr\\xc3\\xa9al,CWTA,41.207999999999998,0.25,Montreal
9,2013-01-13,NY,KNYC,46.179166666699999,0.0,New York
8,2013-01-13,Bay Area,KNGP,62.947222222199997,0.059999999999999998,Bay Area
3,2013-01-13,St. Petersburg,KSPG,72.025000000000006,0.0,St. Petersburg
5,2013-01-13,Seattle WA,KBFI,30.320833333300001,0.0,Seattle
5,2013-01-13,Waterloo,KALO,9.9133333333299998,0.0,Waterloo
25,2013-01-13,Montreal,CWTA,41.207999999999998,0.25,Montreal
16,2013-01-13,Vancouver,CWHC,32.0,0.0,Vancouver
3,2013-01-13,Edmonton,CXEC,8.1959999999999997,0.0,Edmonton
38,2013-01-13,NYC,KNYC,46.179166666699999,0.0,New York
12,2013-01-13,San Diego,KSAN,48.983333333300003,0.0,San Diego
3,2013-01-13,Portland,KPDX,29.893750000000001,0.0,Portland
9,2013-01-14,SF Bay Area,KSFO,44.495833333299998,0.0,San Francisco
5,2013-01-14,Denver,KAPA,4.5178571428599996,0.0,Denver
1,2013-01-14,Oakland CA,KOAK,44.858333333300003,0.0,Berkeley
5,2013-01-14,Redmond,KBFI,34.729166666700003,0.0,Seattle
4,2013-01-14,Oklahoma City,KOKC,27.774999999999999,0.0,Oklahoma City
5,2013-01-14,Edmonton,CXEC,25.5962962963,0.0,Edmonton
2,2013-01-14,Chicago IL,KMDW,18.5958333333,0.0,Chicago
5,2013-01-14,Baltimore,KBWI,49.706249999999997,0.14999999999999999,Baltimore
11,2013-01-14,Montr\\xc3\\xa9al,CWTA,38.712000000000003,0.050000000000000003,Montreal
4,2013-01-14,Birmingham,KBHM,40.923214285699999,2.77,Birmingham
5,2013-01-14,Cambridge MA,KBOS,51.683870967700003,0.0,Boston
30,2013-01-13,Los Angeles,KCQT,47.037500000000001,0.0,Los Angeles
9,2013-01-13,Pittsburgh,KAGC,61.0,0.25,Pittsburgh
11,2013-01-13,Brooklyn,KNYC,46.179166666699999,0.0,New York
1,2013-01-13,Austin TX,KATT,44.439130434799999,0.0,Austin
8,2013-01-13,SF,KSFO,45.020833333299997,0.0,San Francisco
5,2013-01-13,SF Bay Area,KSFO,45.020833333299997,0.0,San Francisco
1,2013-01-14,Washington,KDCA,54.268421052599997,0.070000000000000007,Washington DC
3,2013-01-14,Salt Lake City,KSLC,7.4576923076900004,0.0,Salt Lake City
4,2013-01-14,San Jose,KSJC,41.495833333299998,0.0,San Jose
5,2013-01-14,Berkeley,KOAK,44.858333333300003,0.0,Berkeley
9,2013-01-14,Portland,KPDX,31.548571428599999,0.040000000000000001,Portland
3,2013-01-14,St. Petersburg,KSPG,71.780952381000006,0.0,St. Petersburg
7,2013-01-14,Austin,KATT,40.796153846199999,0.0,Austin
